id,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,duration_ms
6ToupFpZbiTiRGEF2vVuzU,3,0,4,0.00923,0.565,0.957,0.69,0.293,-4.167,0.0723,0.175,127.953,225000
4V8MnCD8T2Iyk5uGAFEgNF,7,1,4,0.00829,0.663,0.923,0.91,0.32,-3.195,0.0613,0.394,129.964,211154
25BLqfJUuFnzm4jShSHX3U,5,0,4,0.00522,0.439,0.877,0.0701,0.29,-3.992,0.11,0.175,136.724,695000
0Qv5qTV99tE5tRo5Kqde4D,10,0,4,0.00403,0.639,0.973,0.00336,0.336,-4.644,0.107,0.168,130.046,224769
0H8GRYpMkJQeoNddt6j4Kx,7,1,4,0.00829,0.663,0.923,0.91,0.32,-3.195,0.0613,0.394,129.964,211154
3LewMbGqmR4IYtifSNxbGz,11,0,1,0.142,0.455,0.786,0.000606,0.336,-5.544,0.0669,0.449,108.753,230573
1hZ7LSB05aNMX2Nw73DFiR,6,0,4,0.0306,0.968,0.677,0.0,0.0852,-6.344,0.207,0.767,124.975,171740
55LqAafhLoNmahQ9fkIOHY,4,0,4,0.00134,0.653,0.523,0.901,0.0614,-3.907,0.0521,0.145,128.011,257053
5Qw6359qWB9JdwIXYS0lxj,9,0,4,0.00358,0.561,0.725,0.857,0.0872,-7.212,0.042,0.117,127.993,312197
0kdVIAjTAkAFo7dYdciDU1,11,0,4,0.0594,0.345,0.955,0.642,0.132,-2.257,0.088,0.115,139.927,159429
2OSsMwCiZPC44tJ4OPVSZF,11,0,4,0.101,0.492,0.801,0.0,0.0798,-4.204,0.0567,0.329,150.036,185265
735f5J0cA4VqAyxmsARit0,1,1,4,0.0202,0.596,0.944,0.011,0.186,-4.813,0.123,0.416,150.073,157615
3bgk2drUml3QCeRxhAuvFR,1,1,4,0.0491,0.789,0.872,0.239,0.0855,-8.472,0.267,0.37,145.045,256000
2FQgmygHetc4SPApVDmj3G,8,1,4,0.00141,0.583,0.979,0.902,0.06,-3.83,0.0398,0.267,126.028,158095
3yPciJSUc2eiGvwMYFP4Nh,2,0,4,0.000122,0.551,0.973,0.605,0.0567,-4.267,0.0546,0.0801,128.036,142500
6vSDjiTPramX72oNM1yOxC,5,0,4,0.102,0.726,0.939,0.0103,0.586,-3.45,0.0553,0.138,127.934,218630
0AQlQOvoFhRJLPC1KwbKB7,0,0,4,0.055,0.665,0.853,0.00169,0.277,-4.851,0.0331,0.384,129.946,188467
4Ll8gvS3vrODykwNguDehq,9,0,4,0.00132,0.646,0.859,0.127,0.176,-2.893,0.166,0.272,128.042,277515
7cVaJvsIIcgzSdH204p2CX,3,0,4,0.144,0.565,0.892,0.801,0.0385,-5.221,0.0672,0.0764,139.957,267040
2Dcqj5wDeumFvAFJbvCbhF,7,0,4,0.0281,0.507,0.894,0.0,0.0897,-4.743,0.0901,0.181,128.114,190166
124zAWG7dEMRdA6v6SD0SG,0,1,4,0.00473,0.716,0.971,0.721,0.255,-5.309,0.0705,0.141,127.99,152813
7bX9Z6HPHO96BL5vNK9k3Y,11,0,4,0.00208,0.57,0.871,0.106,0.398,-5.938,0.472,0.475,128.038,160258
1xniUfCvv0CGGHgbZD5C0q,0,1,4,0.0375,0.55,0.652,0.0,0.11,-7.418,0.0499,0.16,119.918,232000
6oU6OTnU945Dz59dCa45Gq,1,1,4,0.0814,0.84,0.73,4.45e-06,0.106,-4.181,0.0598,0.654,105.016,201714
0mUcyLU6W89zfEMsVu4Fy9,3,0,4,0.00142,0.751,0.805,0.27,0.226,-2.873,0.0608,0.28,127.961,240762
06lUC60bYItTvFWGuEKyvt,9,1,3,0.00224,0.295,0.969,0.773,0.104,-5.525,0.0729,0.22,137.746,152421
48uISLe5IvCarYNo1joYos,8,1,4,0.00298,0.452,0.936,0.134,0.372,-3.075,0.107,0.307,128.161,283707
1vnJSFjkU4AvvKt0a08xCF,1,1,4,0.0087,0.439,0.975,0.362,0.0468,-4.688,0.207,0.0925,150.1,190071
1mQ34waLiTMqIA1FJwKL8m,1,1,4,0.00292,0.833,0.791,0.0294,0.098,-3.497,0.119,0.505,127.999,301231
1ahuShy8UD37C21q2meohL,9,1,4,0.266,0.581,0.961,0.709,0.156,-5.431,0.0632,0.111,126.195,224368
1pAvAiQK7naCXyhkcRQAZl,0,0,4,0.0511,0.405,0.665,0.0,0.213,-6.287,0.166,0.593,179.853,148333
5Bwjnjkjq2dexAiYVkhkBy,7,0,4,0.0047,0.688,0.851,0.738,0.0976,-4.549,0.0847,0.0895,128.016,186562
0GnSNtOfVCCQ5Wx9rzlWYV,0,0,4,0.0043,0.58,0.963,0.522,0.0552,-5.954,0.0649,0.128,129.971,295027
2NGrJMR4899NH82qjZiNcS,1,0,4,0.112,0.643,0.907,0.00458,0.121,-3.345,0.0448,0.239,128.058,208500
19ndEKiHmRoCOd0J660fvB,9,0,4,0.00104,0.614,0.926,0.864,0.2,-5.677,0.037,0.135,124.997,302634
6lMNMaq2OaE7UIQiBevauB,0,1,4,0.0048,0.716,0.971,0.675,0.277,-4.963,0.0685,0.125,128.011,148125
3YZV7YJCK5xqdb6qWZDai6,4,1,4,0.00221,0.676,0.948,0.226,0.0985,-4.712,0.102,0.152,127.965,372634
1P0RMKG0HVFdFrLQ75O9Fj,2,1,4,0.00084,0.784,0.988,0.847,0.347,-5.379,0.0816,0.715,127.977,252657
79HdRg2Lq06P19LqWUAXAU,6,0,4,0.00659,0.585,0.919,0.685,0.12,-4.736,0.0906,0.773,160.043,169500
4SByVmVbEHbQDbuNTyJygK,1,1,4,0.000391,0.532,0.876,0.0231,0.216,-5.765,0.0679,0.0683,137.067,227737
4xNLoysynrmkTXdXrPygrr,1,0,4,0.0385,0.401,0.922,0.0,0.064,-2.873,0.107,0.233,75.637,253187
3agCFxMhyXupdQOtu8Yb4N,7,0,4,0.0776,0.759,0.836,8.29e-06,0.0682,-3.084,0.0432,0.648,119.957,180000
4pGqgBoijsxPIziGoz4AON,7,1,4,0.0141,0.7,0.983,0.000408,0.427,-3.977,0.0566,0.766,124.978,194521
52XF8QKWtFZ4e8ujIpPVQd,9,1,4,0.0834,0.588,0.837,0.000115,0.171,-6.04,0.563,0.131,155.098,144016
3XqcH72SduQhCP7nWkPHhG,0,1,4,0.319,0.567,0.598,0.00114,0.0888,-9.925,0.0503,0.601,127.988,195586
6wwMooleU5O4bEKkA150CE,7,1,4,0.000586,0.683,0.69,0.831,0.395,-4.303,0.0712,0.379,128.002,371260
2xQjBJqtiEgFPvTYzFgDdn,8,1,4,0.000176,0.624,0.994,0.266,0.0847,-2.833,0.176,0.156,128.001,244233
667A1K1y6GQYfMHrcnexPD,2,0,4,0.000122,0.551,0.973,0.605,0.0567,-4.267,0.0546,0.0801,128.036,142500
6Rpz0SNYdbGpBQ6ZUEB3AD,2,1,4,0.00218,0.603,0.916,0.927,0.117,-5.109,0.0716,0.0751,128.139,226203
7djXZOHffvHLtyRJShN4bc,2,0,4,0.0255,0.674,0.768,1.28e-06,0.368,-2.695,0.0649,0.183,128.073,241841
3jIVSR6BXJWOGyYRVeYnMu,6,0,4,0.0171,0.708,0.908,0.0,0.0814,-3.579,0.184,0.85,90.026,201000
3jxUjqNBZm2kqOIv3RaAmO,4,0,4,0.00827,0.516,0.932,0.734,0.208,-4.454,0.216,0.197,127.947,206250
1KYWuQBH5wapHECHEaQRhp,2,0,4,0.00322,0.837,0.602,0.0409,0.0747,-4.721,0.0863,0.0389,126.993,307973
0S8uArWbw8Nwc9s2z19T4P,3,0,4,0.00389,0.511,0.941,0.0,0.337,-2.823,0.18,0.397,128.004,303733
7098TdxGBINzBu9ygyAieB,9,1,4,0.0834,0.588,0.837,0.000115,0.171,-6.04,0.563,0.131,155.098,144016
6gv0haZkJPwGEnoUegBnXC,9,1,4,0.0033,0.703,0.83,0.909,0.213,-3.839,0.0425,0.0588,128.022,360000
2pWMpb8iHfGKsw9BmeUBOK,0,1,4,0.000253,0.545,0.912,0.961,0.308,-4.211,0.0829,0.383,127.972,230625
7CTFHf1K6ZuzHANR7g1xk7,7,0,4,0.029,0.348,0.909,1.61e-06,0.704,-2.414,0.15,0.494,148.113,173868
662vtOAyenh4uGaEP8buDu,8,1,4,0.00103,0.524,0.827,0.0267,0.0412,-5.17,0.059,0.236,128.011,250979
65p5bzJ7bkxwOhYWkKvFwd,2,1,4,0.0204,0.577,0.802,0.507,0.11,-10.016,0.061,0.11,133.887,109704
2iYe2uVT6c9twptoxhUCin,5,0,4,0.0077,0.594,0.894,0.945,0.0271,-4.39,0.0427,0.38,128.032,259219
2Mrhe6cvtvgod4LgzCkLUZ,4,0,4,0.00827,0.516,0.932,0.734,0.208,-4.454,0.216,0.197,127.947,206250
0k1q9ItmLjwGsWeYezAqL7,4,0,4,0.00189,0.582,0.946,0.241,0.248,-3.384,0.215,0.43,128.073,186359
3rHKt23q21GOwTwmAhjt9I,10,1,4,0.00174,0.599,0.957,0.0822,0.369,-4.516,0.0439,0.443,127.987,326493
1soXCBABp2do5cl3awvPiI,9,0,4,0.00165,0.767,0.8,0.316,0.172,-5.053,0.0846,0.696,128.0,318744
52zeJeJrFqKmJBc4FK6767,0,0,4,0.00435,0.581,0.965,0.707,0.0534,-5.985,0.0627,0.133,130.008,294880
1HayDynv7vHkPYIGKIrU5U,5,0,4,0.0265,0.555,0.959,0.00126,0.401,-4.118,0.0591,0.308,128.028,173906
2aHswD8mPnaQz6hcjoiI6d,7,1,4,0.0286,0.867,0.476,0.000499,0.0874,-7.233,0.0927,0.795,124.982,264311
4KOSixWUEe78Ifc5Rb5QKe,7,1,4,0.252,0.712,0.703,0.466,0.0824,-7.503,0.0437,0.192,126.044,165714
4nfB84UCOsr8E7qsP2ozFO,5,1,4,0.00096,0.63,0.951,0.803,0.17,-6.585,0.0507,0.185,130.012,242077
7M2t0mMSjLJSweu8BwrY2R,5,0,4,0.000504,0.625,0.973,0.67,0.0511,-2.691,0.082,0.3,130.008,299113
1UCfZgYDTAUfdXbLIRCJa8,11,0,4,0.00827,0.714,0.976,0.262,0.043,-1.981,0.296,0.135,140.049,178286
1CO7jAXbu7G8e8fKCdwZ8l,10,0,4,0.0241,0.65,0.912,0.8,0.293,-4.588,0.0406,0.191,129.999,234462
7I0Q3LCoJYnbKqGz7yLF0Q,8,1,4,0.00148,0.388,0.724,0.297,0.085,-6.599,0.0766,0.128,131.756,178615
0SvTKEBT6vWVqQuEAd1A6w,0,0,4,0.0632,0.341,0.727,8.9e-06,0.132,-4.62,0.0413,0.373,90.101,205751
1o1A9AcPBFb0LVX6SfwmHk,2,1,4,0.0209,0.569,0.799,0.528,0.109,-10.033,0.0599,0.102,133.872,109704
4BXfVrNwwWGR33gruLKU48,8,1,4,0.00801,0.807,0.809,0.169,0.0692,-3.803,0.122,0.359,128.002,347495
2Ujcz0mv5ZgCZfHBN876RE,1,0,4,0.0385,0.401,0.922,0.0,0.064,-2.873,0.107,0.233,75.637,253187
0rkxVqGdpSOcmrRcikCJUi,2,1,4,0.182,0.766,0.757,0.84,0.0854,-6.055,0.0941,0.15,127.987,443457
5bCp38g8yY8RXJzqoVj0oP,5,0,4,0.00681,0.714,0.989,0.00801,0.085,-4.138,0.0922,0.434,128.022,255000
4FIlPJYhyMafKzcqweFthH,2,1,4,0.00272,0.772,0.974,0.0863,0.0412,-4.716,0.0712,0.778,124.994,374400
4BKEpntnKg6KXLarhjYkrk,5,0,4,0.00368,0.616,0.966,0.345,0.15,-2.767,0.047,0.393,109.972,182413
