id,name,popularity,genre,album,artists,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,duration_ms
6Cy8zuRfq2R4tbJIwEmSp4,Feel so High,39,acoustic,Mind Adventures,Des'ree,5,1,4,0.623,0.609,0.439,0.0,0.0848,-13.927,0.0644,0.453,161.07,233907
45ZmUXITNXixqBjelRmBSO,Candy,49,acoustic,Sunny Side Up,Paolo Nutini,7,1,4,0.373,0.612,0.601,0.0,0.156,-7.809,0.0421,0.368,125.164,298693
7zkLpY72g6lKQbiHDqri1S,Sunrise,72,acoustic;acoustic;acoustic;acoustic;acoustic;acoustic;rainy-day;rainy-day;rainy-day;rainy-day;rainy-day;rainy-day;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;sleep;sleep;sleep;sleep;sleep;sleep;soul;soul;soul;soul;soul;soul;study;study;study;study;study;study,Feels Like Home,Norah Jones,8,1,4,0.941,0.526,0.299,0.097,0.106,-13.797,0.031,0.679,156.848,200627
2APaWLyP3drx0CIodMhKHd,Hey Ya!,48,acoustic,Hey Ya!,The Blanks,1,0,4,0.93,0.607,0.262,0.0,0.172,-11.131,0.0378,0.293,155.948,267405
5FPnjikbwlDMULCCCa6ZCJ,Daughters,68,acoustic;acoustic;acoustic;acoustic;acoustic;chill;chill;chill;chill;chill;rainy-day;rainy-day;rainy-day;rainy-day;rainy-day;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;study;study;study;study;study,Heavier Things,John Mayer,2,1,3,0.837,0.674,0.413,1.91e-05,0.098,-7.816,0.0274,0.503,124.895,237907
0O36Yqb2aFcThBphczYoAY,A Drop In The Ocean,28,acoustic,Ron Pope: Live and Unplugged In New York,Ron Pope,5,1,3,0.801,0.437,0.452,0.0,0.914,-7.443,0.0395,0.473,69.81,276300
1PX5pscejxT7eXAy35y1Ej,No Ordinary Love - Live at Eddie's Attic,36,acoustic,Live At Eddie's Attic,The Civil Wars,11,0,5,0.893,0.237,0.535,4.74e-06,0.701,-10.352,0.0812,0.389,164.977,207253
65HOlqJpNqaUbateZw2GrA,Northern Wind,49,acoustic,Little Hell (Deluxe),City and Colour,0,1,4,0.621,0.504,0.167,0.000109,0.119,-14.396,0.0284,0.245,109.321,255773
1LkffUqSKVC5Au5IQPPSLM,Cuts Like A Knife - MTV Unplugged Version,38,acoustic,MTV Unplugged,Bryan Adams,7,1,4,0.184,0.518,0.576,7.01e-05,0.957,-7.308,0.0257,0.269,96.626,303533
7zCuUs0JXXPIH7GA8tWwii,When I Was Your Man,52,acoustic,"Cover Sessions, Vol. 3",Boyce Avenue;Fifth Harmony,7,1,4,0.906,0.404,0.237,0.0,0.111,-10.001,0.039,0.163,143.785,218473
6YEOmCsXSk9ZPE0FkcCiuQ,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 1999 Remaster",58,acoustic,Clapton Chronicles: The Best of Eric Clapton,Eric Clapton,2,0,4,0.286,0.51,0.389,0.000398,0.644,-14.317,0.0384,0.621,94.04,260440
2yGTCdmOQI6ipDKAb8ERPQ,Beneath Your Beautiful - Live in Amsterdam,38,acoustic,Spotify Session,Passenger,3,1,4,0.792,0.507,0.0617,0.0,0.139,-20.816,0.0663,0.295,162.537,208907
6d0wEqM0jJTNv1asKflGGi,Take Me to Church - Live From Spotify London,50,acoustic,Spotify Sessions London,Hozier,2,0,3,0.859,0.624,0.217,0.0,0.7,-9.54,0.0481,0.287,124.958,246493
6m0qBDIhzICOwWMPZdgyVK,Crazy in Love,57,acoustic,Crazy in Love,Daniela Andrade,7,1,4,0.868,0.606,0.326,0.0,0.12,-9.401,0.119,0.489,78.906,227500
10XX3YDY7X0jQfwjpveRvh,Make You Feel My Love,43,acoustic,Covers Album Vol. 11 | 2011 Advent Calendar,ortoPilot,2,1,4,0.869,0.657,0.212,0.00746,0.11,-10.391,0.0423,0.292,75.91,226114
51jy98I9q9Nk1xyA0W4ZBg,"If You've Gotta Go, Go Now - Bonus Track",40,acoustic,Subterranean Homesick Blues: A Tribute to Bob Dylan's 'Bringing It All Back Home',J. Tillman,7,1,4,0.722,0.548,0.217,2.15e-05,0.0788,-10.308,0.0266,0.325,87.01,225947
6vrUTGn5p8IrfTZ0J6sIVM,Iris,74,acoustic;acoustic;acoustic;acoustic;alt-rock;alt-rock;alt-rock;alt-rock;chill;chill;chill;chill;romance;romance;romance;romance,Greatest Hits Volume One - The Singles,The Goo Goo Dolls,11,0,3,0.00133,0.291,0.79,5.61e-06,0.0811,-5.683,0.0363,0.513,155.667,289907
7IByJvSqRFltGyiiIiL4wn,Who You Love (feat. Katy Perry),64,acoustic,Paradise Valley,John Mayer;Katy Perry,9,1,4,0.813,0.694,0.351,0.00165,0.097,-10.92,0.0382,0.691,145.907,249933
7JgqTo893KhpjwTPCz5PaZ,Use Somebody,50,acoustic,"Cover Sessions, Vol. 3",Boyce Avenue;Hannah Trigwell,0,1,4,0.867,0.358,0.271,0.0,0.122,-8.718,0.0363,0.265,129.482,197125
27WxGfZZLfpNMRAGLWwb2b,Cradlesong,25,acoustic,Narrow,Soap&Skin,11,1,4,0.936,0.378,0.158,0.0112,0.319,-12.007,0.0339,0.23,81.841,130693
4FZnIFKjbjX5UOPDbbRtut,Here Now,34,acoustic,The Runaround,Wild Child,5,1,4,0.983,0.58,0.141,0.00137,0.105,-14.742,0.0373,0.362,84.403,251067
3pcj5YHe8Qx5ZS1O5a9pmJ,This Boy,33,acoustic,Undiscovered,James Morrison,10,1,4,0.486,0.602,0.517,0.0,0.117,-7.605,0.0399,0.456,119.198,232147
3h7fGy7n9xhS1PupWW9vJ9,We Are Young,19,acoustic,We Are Young,Kurt Hugo Schneider;Sam Tsui,5,1,4,0.388,0.408,0.814,0.0,0.11,-4.26,0.0704,0.486,97.727,212758
